ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
1743,-0.0007040618585859796,-0.002112185575757939
1744,-0.0007044002072462437,-0.0021132006217387312
1745,-0.0007047382550959217,-0.002114214765287765
1746,-0.000705076002077201,-0.002115228006231603
1747,-0.0007054134481326855,-0.002116240344398056
1748,-0.0007057505932053938,-0.002117251779616181
1749,-0.0007060874372387605,-0.0021182623117162814
1750,-0.0007064239801766337,-0.002119271940529901
1751,-0.0007067602219632754,-0.002120280665889826
1752,-0.0007070961625433604,-0.002121288487630081
1753,-0.0007074318018619758,-0.0021222954055859274
1754,-0.0007077671398646204,-0.002123301419593861
1755,-0.0007081021764972041,-0.002124306529491612
1756,-0.0007084369117060464,-0.002125310735118139
1757,-0.0007087713454378772,-0.002126314036313631
1758,-0.0007091054776398347,-0.0021273164329195043
1759,-0.0007094393082594663,-0.0021283179247783986
1760,-0.0007097728372447259,-0.0021293185117341774
1761,-0.0007101060645439753,-0.0021303181936319256
1762,-0.0007104389901059824,-0.0021313169703179474
1763,-0.0007107716138799203,-0.0021323148416397607
1764,-0.0007111039358153679,-0.002133311807446104
1765,-0.0007114359558623083,-0.002134307867586925
1766,-0.0007117676739711279,-0.0021353030219133837
1767,-0.0007120990900926163,-0.002136297270277849
1768,-0.0007124302041779659,-0.0021372906125338978
1769,-0.0007127610161787706,-0.0021382830485363116
1770,-0.0007130915260470252,-0.0021392745781410754
1771,-0.0007134217337351257,-0.002140265201205377
1772,-0.000713751639195867,-0.002141254917587601
1773,-0.000714081242382444,-0.0021422437271473318
1774,-0.0007144105432484495,-0.0021432316297453485
1775,-0.0007147395417478748,-0.0021442186252436245
1776,-0.0007150682378351079,-0.0021452047135053233
1777,-0.0007153966314649339,-0.0021461898943948014
1778,-0.0007157247225925333,-0.0021471741677775995
1779,-0.0007160525111734822,-0.002148157533520447
1780,-0.0007163799971637519,-0.002149139991491256
1781,-0.0007167071805197068,-0.0021501215415591205
1782,-0.0007170340611981054,-0.0021511021835943158
1783,-0.0007173606391560986,-0.0021520819174682955
1784,-0.0007176869143512295,-0.0021530607430536885
1785,-0.0007180128867414327,-0.002154038660224298
1786,-0.000718338556285034,-0.0021550156688551017
1787,-0.0007186639229407487,-0.002155991768822246
1788,-0.0007189889866676821,-0.002156966960003046
1789,-0.0007193137474253288,-0.0021579412422759866
